Account ID,Account Name,Report Date,Adult - Safe Impressions,Adult - Suitable Impressions,Adult - Unsuitable Impressions,Crime & Harmful Acts - Safe Impressions,Crime & Harmful Acts - Suitable Impressions,Crime & Harmful Acts - Unsuitable Impressions,"Death, Injury & Military Conflict - Safe Impressions","Death, Injury & Military Conflict - Suitable Impressions","Death, Injury & Military Conflict - Unsuitable Impressions","Drugs, Alcohol & Tobacco - Safe Impressions","Drugs, Alcohol & Tobacco - Suitable Impressions","Drugs, Alcohol & Tobacco - Unsuitable Impressions",Hate Speech & Acts of Aggression - Safe Impressions,Hate Speech & Acts of Aggression - Suitable Impressions,Hate Speech & Acts of Aggression - Unsuitable Impressions,Misinformation - Safe Impressions,Misinformation - Suitable Impressions,Misinformation - Unsuitable Impressions,Online Piracy - Safe Impressions,Online Piracy - Suitable Impressions,Online Piracy - Unsuitable Impressions,Profanity & Obscenity - Safe Impressions,Profanity & Obscenity - Suitable Impressions,Profanity & Obscenity - Unsuitable Impressions,Debated Sensitive Social Issues - Safe Impressions,Debated Sensitive Social Issues - Suitable Impressions,Debated Sensitive Social Issues - Unsuitable Impressions,Spam - Safe Impressions,Spam - Suitable Impressions,Spam - Unsuitable Impressions,Terrorism - Safe Impressions,Terrorism - Suitable Impressions,Terrorism - Unsuitable Impressions,Arms & Ammunition - Safe Impressions,Arms & Ammunition - Suitable Impressions,Arms & Ammunition - UnSuitable Impressions,Campaign End Date,Campaign Start Date,Spend,Total Advertisers,Total Campaigns,Brand Safety %,Brand Suitability %,Safe Impressions,Suitable Impressions,Total Impressions,UnMeasurable Impressions,UnSuitable Impressions
6117086388,SoftBank Corp.(LINEMO_cognition),2026-01-03,193846,193287,559,193846,193630,216,193846,192920,926,193846,191736,2110,193846,193788,58,193846,193845,1,193846,193803,43,193846,192853,993,193846,193745,101,193846,193775,71,193846,193784,62,193846,193531,315,2037-12-31,2025-10-01,0,1,3,0.99999,0.97417,193846,188839,193846,0,5007
6117086388,SoftBank Corp.(LINEMO_cognition),2026-01-04,261187,260327,860,261187,260972,215,261187,260318,869,261187,259149,2038,261187,261132,55,261187,261187,0,261187,261131,56,261187,259967,1220,261187,261093,94,261187,261141,46,261187,261138,49,261187,260862,325,2037-12-31,2025-10-01,0,1,3,0.99999,0.9807,261187,256146,264281,3094,5041
6117086388,SoftBank Corp.(LINEMO_cognition),2026-01-14,114132,113946,186,114132,113988,144,114132,113881,251,114132,113569,563,114132,114101,31,114132,114129,3,114132,114126,6,114132,113923,209,114132,114091,41,114132,114045,87,114132,114107,25,114132,114017,115,2037-12-31,2025-10-01,0,1,3,0.99999,0.987068,114132,112656,114133,1,1476
6117086388,SoftBank Corp.(LINEMO_cognition),2026-01-07,139201,138847,354,139201,139046,155,139201,138752,449,139201,138541,660,139201,139162,39,139201,139200,1,139201,139189,12,139201,138804,397,139201,139149,52,139201,139154,47,139201,139176,25,139201,139036,165,2037-12-31,2025-10-01,0,1,3,0.99999,0.984648,139201,137064,139207,6,2137
6117086388,SoftBank Corp.(LINEMO_cognition),2026-01-09,74644,74540,104,74644,74575,69,74644,74496,148,74644,74390,254,74644,74628,16,74644,74639,5,74644,74638,6,74644,74477,167,74644,74615,29,74644,74639,5,74644,74636,8,74644,74581,63,2037-12-31,2025-10-01,0,1,3,0.99999,0.989617,74644,73869,74644,0,775
6117086388,SoftBank Corp.(LINEMO_cognition),2026-01-16,313913,313374,539,313913,313597,316,313913,313194,719,313913,312674,1239,313913,313837,76,313913,313906,7,313913,313900,13,313913,313120,793,313913,313805,108,313913,313874,39,313913,313846,67,313913,313542,371,2037-12-31,2025-10-01,0,1,3,0.99999,0.988287,313913,310236,313913,0,3677
6117086388,SoftBank Corp.(LINEMO_cognition),2026-01-11,192745,192407,338,192745,192568,177,192745,192357,388,192745,191873,872,192745,192702,43,192745,192738,7,192745,192734,11,192745,192327,418,192745,192661,84,192745,192711,34,192745,192705,40,192745,192479,266,2037-12-31,2025-10-01,0,1,3,0.99999,0.987652,192745,190365,192745,0,2380
6117086388,SoftBank Corp.(LINEMO_cognition),2026-01-01,115722,115386,336,115722,115633,89,115722,115552,170,115722,115025,697,115722,115685,37,115722,115721,1,115722,115699,23,115722,115398,324,115722,115686,36,115722,115693,29,115722,115697,25,115722,115622,100,2037-12-31,2025-10-01,0,1,3,0.99999,0.985033,115722,113990,115722,0,1732
6117086388,SoftBank Corp.(LINEMO_cognition),2026-01-08,99772,99577,195,99772,99670,102,99772,99488,284,99772,99414,358,99772,99746,26,99772,99767,5,99772,99757,15,99772,99554,218,99772,99727,45,99772,99761,11,99772,99761,11,99772,99672,100,2037-12-31,2025-10-01,0,1,3,0.99999,0.987852,99772,98560,99772,0,1212
6117086388,SoftBank Corp.(LINEMO_cognition),2026-01-10,133511,133216,295,133511,133379,132,133511,133277,234,133511,132999,512,133511,133478,33,133511,133508,3,133511,133498,13,133511,133209,302,133511,133464,47,133511,133490,21,133511,133483,28,133511,133214,297,2037-12-31,2025-10-01,0,1,3,0.99999,0.986795,133511,131748,133511,0,1763
